--------------------------
SDHDF Definition Overview
--------------------------
SDHDF Definition Version: 1.7
Author: Lawrence Toomey
Copyright: CSIRO 2019
--------------------------
SDHDF File Overview
- HDF_Object_Name -, - HDF_Object_Type -, - Description -
/cal_obs_params,Dataset,Observation integration meta-data
/history,Dataset,Processing history meta-data
/obs_params,Dataset,Observation integration meta-data
/primary_header,Dataset,General observation meta-data
/rfi_excision,Dataset,RFI excision meta-data
/software_versions,Dataset,Processing software package version meta-data
--------------------------
SDHDF Structure Detail
- HDF_Object_Name -, - HDF_Object_Type -, - Description -
--------------------------
/SB00,Group,SDHDF sub-band group
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
/SB00/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB00/cal_frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB00/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB00/data,Dataset,SDHDF astronomy dataset
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB00/frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB00/weights,Dataset,SDHDF weights dataset
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
--------------------------
/SB01,Group,SDHDF sub-band group
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
/SB01/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB01/cal_frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB01/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB01/data,Dataset,SDHDF astronomy dataset
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB01/frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB01/weights,Dataset,SDHDF weights dataset
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
--------------------------
/SB02,Group,SDHDF sub-band group
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
/SB02/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB02/cal_frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB02/cal_weights_on,Dataset,SDHDF weights dataset (cal signal on)
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB02/data,Dataset,SDHDF astronomy dataset
.. DESCRIPTION,Attribute,SDHDF object description
.. DIMENSION_LABELS,Attribute,[b'time' b'beam' b'polarization' b'frequency' b'bin']
.. DIMENSION_LIST,Attribute,DIMENSION_LIST
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB02/frequency,Dataset,SDHDF frequency dataset
.. CLASS,Attribute,DIMENSION_SCALE
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. REFERENCE_LIST,Attribute,REFERENCE_LIST
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
/SB02/weights,Dataset,SDHDF weights dataset
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
.. UNIT,Attribute,Data unit
--------------------------
/SB03,Group,SDHDF sub-band group
.. DESCRIPTION,Attribute,SDHDF object description
.. NAME,Attribute,SDHDF object name
.. SDHDF_CLASS,Attribute,SDHDF class name
/SB03/cal_data_on,Dataset,SDHDF calibration dataset (cal signal on)
