.. ZE_DRIVE_RATE,Attribute,Zenith drive rate,degrees/min,<class 'float'>
/primary_header,Dataset,General observation meta-data,N/A,N/A
.. BAND_MODE,Attribute,Band mode,None,<class 'str'>
.. CAL_MODE,Attribute,Calibration mode,None,<class 'str'>
.. CONTINUUM_OUTTSAMP,Attribute,Approx. requested dump time per spectrum,s,<class 'float'>
.. DATE,Attribute,File creation date (UTC YYYY-MM-DD-hh:mm:ss),None,<class 'str'>
.. DEC,Attribute,J2000 declination (DD:MM:SS.s),degree,<class 'str'>
.. DESCRIPTION,Attribute,SDHDF object description,None,<class 'str'>
.. FILE_FORMAT,Attribute,File format,None,<class 'str'>
.. FILE_FORMAT_VERSION,Attribute,File format version,None,<class 'str'>
.. HDR_DEFN,Attribute,File format definition,None,<class 'str'>
.. HDR_DEFN_VERSION,Attribute,File format definition version,None,<class 'str'>
.. INSTRUMENT,Attribute,Backend name,None,<class 'str'>
.. NAME,Attribute,SDHDF object name,None,<class 'str'>
.. N_BEAMS,Attribute,Number of beams,None,<class 'int'>
.. N_SUB,Attribute,Number of sub-bands in output file,None,<class 'int'>
.. OBSERVER,Attribute,Observer name,None,<class 'str'>
.. OBS_MODE,Attribute,Observation mode,None,<class 'str'>
.. PERFORM_CONTINUUM,Attribute,Continuum mode,None,<class 'str'>
.. PERFORM_SPECTRAL_LINE,Attribute,Spectral line mode,None,<class 'str'>
.. PID,Attribute,OPAL Project ID,None,<class 'str'>
.. POL_TYPE,Attribute,"Polarisation type (AABBCRCI for 4 pol coherence data, where AA and BB are the direct products of the two input channels A and B, and CR and CI are the real and imaginary parts of the cross product A* B; AA+BB for 1 pol data with summed orthogonal products; AABB for 2 pol data)",None,<class 'str'>
.. RA,Attribute,J2000 right ascension (HH:MM:SS.s),hours,<class 'str'>
.. RECEIVER,Attribute,Receiver name,None,<class 'str'>
.. SCHED_BLOCK_ID,Attribute,ID of TOS schedule block (0 if TCS),None,<class 'int'>
.. SDHDF_CLASS,Attribute,SDHDF class name,None,<class 'str'>
.. SOURCE,Attribute,Source name,None,<class 'str'>
.. SUBBAND_LIST,Attribute,Sub-band meta-data in output file,None,<class 'str'>
.. TELESCOPE,Attribute,Telescope name,None,<class 'str'>
.. TOTAL_INTEGRATION_TIME,Attribute,Observation total integration time,s,<class 'float'>
.. TSAMP,Attribute,Sampling rate of input data,s,<class 'float'>
.. UTC_START,Attribute,Observation start (UTC YYYY-MM-DD-hh:mm:ss),None,<class 'str'>
.. ZOOM_CFREQ,Attribute,Zoom centre frequency,MHz,<class 'float'>
.. ZOOM_MODE,Attribute,Zoom mode,None,<class 'str'>
.. ZOOM_WIDTH,Attribute,Zoom window width,MHz,<class 'float'>
/software_versions,Dataset,Processing software package version meta-data,N/A,N/A
.. DESCRIPTION,Attribute,SDHDF object description,None,<class 'str'>
.. NAME,Attribute,SDHDF object name,None,<class 'str'>
.. PROC_NAME,Attribute,Process name,None,<class 'str'>
.. SDHDF_CLASS,Attribute,SDHDF class name,None,<class 'str'>
.. SOFTWARE,Attribute,Software package,None,<class 'str'>
.. SOFTWARE_DESCR,Attribute,Software package description,None,<class 'str'>
.. SOFTWARE_VERSION,Attribute,Software package version,None,<class 'str'>
--------------------------
File ../test_data/uwl_191208_055418.hdf 
conforms to the SDHDF definition 1.8
--------------------------
Output written to SDHDF_definition_1.8.csv
